The address provided for the meter (LEDBETTER & MARK TRAIL, Dallas, TX 11111) does not match the oncor provided address (4300 1/...WAY)
The address provided for the meter (1100 N ZANG BLVD, Dallas, TX 75203) does not match the oncor provided address (1104 S ...AVE)
The address provided for the meter (100 S CORINTH, Dallas, TX 75203) does not match the oncor provided address (100 COR... ST)
The address provided for the meter (3100 S. LOOP 12, Dallas, TX 11111) does not match the oncor provided address (3100 GR...GNL)
The address provided for the meter (2800 BONNIEVIEW, Dallas, TX 75216) does not match the oncor provided address (2900 1/... RD)
The address provided for the meter (880 BELLEVIEW ST, Dallas, TX 75215) does not match the oncor provided address (1304 BO...LVD)
The address provided for the meter (951 CORINTH, Dallas, TX 75215) does not match the oncor provided address (951 S C... RD)
The address provided for the meter (1323 FOREST AV, Dallas, TX 75215) does not match the oncor provided address (1312 FO...GNL)
The address provided for the meter (1998 AL LIPSCOMB WAY, Dallas, TX 75215) does not match the oncor provided address (1998 GR...AVE)
The address provided for the meter (2801A PENNSYLVANIA AV, Dallas, TX 75215) does not match the oncor provided address (2801 PE...GNL)
The address provided for the meter (CLYMER & SINGLETON, Dallas, TX 11111) does not match the oncor provided address (3000 CL...GNL)
The address provided for the meter (BICKERS & WESTMORELAND, Dallas, TX 75212) does not match the oncor provided address (3531 N ... RD)
The address provided for the meter (CANADA & WESTMORELAND, Dallas, TX 75212) does not match the oncor provided address (4207 N ... RD)
The address provided for the meter (1409 W MOCKINGBIRD, Dallas, TX 75247) does not match the oncor provided address (1490 W ... LN)
The address provided for the meter (LUNA & ROYAL, Dallas, TX 75220) does not match the oncor provided address (@LUNA &...YAL)
The address provided for the meter (WALNUT HILL & COMPOSITE, Dallas, TX 75220) does not match the oncor provided address (2441 WA...NL2)
The address provided for the meter (LUNA & NEWKIRK, Dallas, TX 75220) does not match the oncor provided address (@LUNA &...IRK)
The address provided for the meter (2441 WALNUT HILL, Dallas, TX 75229) does not match the oncor provided address (2449 WA...NL1)
The address provided for the meter (SHADY TRAIL & WALNUT HILL, Dallas, TX 75229) does not match the oncor provided address (@SHADY ...ILL)
The address provided for the meter (BOGATA & PARK LN, Dallas, TX 11111) does not match the oncor provided address (9901 WE... RD)
The address provided for the meter (WALNUT HILL & WEBB CHAPEL, Dallas, TX 75229) does not match the oncor provided address (@WALNUT...PEL)
The address provided for the meter (3200 ROYAL LN, Dallas, TX 75229) does not match the oncor provided address (3199 RO...GNL)
The address provided for the meter (6201 HARRY HINES BLVD, Dallas, TX 75235) does not match the oncor provided address (6200 HA...GHT)
The address provided for the meter (MEDICAL DISTRICT DRIVE & IRVING, Dallas, TX 75207) does not match the oncor provided address (2708 IR...LVD)
The address provided for the meter (1931 MEDICAL DISTRICT DR, Dallas, TX 75235) does not match the oncor provided address (1931 MO... ST)
The address provided for the meter (HARRY HINES & MEDICAL DISTRICT DR, Dallas, TX 75207) does not match the oncor provided address (2004 ME... DR)
The address provided for the meter (2200 INWOOD RD, Dallas, TX 75235) does not match the oncor provided address (2288 IN... RD)
The address provided for the meter (CEDAR SPRINGS & MOCKINGBIRD, Dallas, TX 75235) does not match the oncor provided address (@CEDAR ...IRD)
The address provided for the meter (202 RIVERFRONT, Dallas, TX 11111) does not match the oncor provided address (202 S R...LVD)
The address provided for the meter (RIVERFRONT & JUSTICE CENTER, Dallas, TX 75207) does not match the oncor provided address (318 N R...LVD)
The address provided for the meter (801 N RIVERFRONT BLVD, Dallas, TX 75207) does not match the oncor provided address (803 N R...GNL)
The address provided for the meter (498 COMMERCE, Dallas, TX 75202) does not match the oncor provided address (498 W C...RAF)
The address provided for the meter (517 MAIN, Dallas, TX 75202) does not match the oncor provided address (517 W M... ST)
The address provided for the meter (198 S MARKET ST, Dallas, TX 75202) does not match the oncor provided address (102 S M...GNL)
The address provided for the meter (1901A MCKINNEY AVE, Dallas, TX 75201) does not match the oncor provided address (1901 MC...T A)
The address provided for the meter (800 N. ST. PAUL ST, Dallas, TX 75211) does not match the oncor provided address (800 N S... ST)
The address provided for the meter (MCKINNEY & ROUTH, Dallas, TX 75201) does not match the oncor provided address (@MCKINN...UTH)
The address provided for the meter (CEDAR SPRINGS & WELBORN, Dallas, TX 75219) does not match the oncor provided address (@CEDAR ...ORN)
The address provided for the meter (3331 N HALL ST, Dallas, TX 75204) does not match the oncor provided address (3331 HA... CT)
The address provided for the meter (900 COMMERCE, Dallas, TX 75202) does not match the oncor provided address (900 W C...t A)
The address provided for the meter (1076 PACIFIC, Dallas, TX 75202) does not match the oncor provided address (1016 PA...AVE)
The address provided for the meter (599 GRIFFIN, Dallas, TX 75202) does not match the oncor provided address (599 S G...GNL)
The address provided for the meter (1400A ROSS AVE, Dallas, TX 75201) does not match the oncor provided address (1400 RO...GNL)
The address provided for the meter (1699 COMMERCE, Dallas, TX 75201) does not match the oncor provided address (1699 W ...GNL)
The address provided for the meter (ALL STAR WAY & VICTORY, Dallas, TX 75207) does not match the oncor provided address (2615 VI...AVE)
The address provided for the meter (HOUSTON & ALL STAR, Dallas, TX 75207) does not match the oncor provided address (2616 N ... St)
The address provided for the meter (FIELD & WICHITA, Dallas, TX 75201) does not match the oncor provided address (FIELD A...ITA)
The address provided for the meter (2003 CEDAR SPRINGS RD, Dallas, TX 75201) does not match the oncor provided address (2203 CE... RD)
The address provided for the meter (HOUSTON & HI LINE, Dallas, TX 75207) does not match the oncor provided address (1311 HI... DR)
The address provided for the meter (HARRY HINES & WOLF, Dallas, TX 75201) does not match the oncor provided address (3002 Ha...lvd)
The address provided for the meter (CEDAR SPRINGS & TOM BRANIFF, Dallas, TX 75235) does not match the oncor provided address (@CEDAR ...IFF)
The address provided for the meter (6710A MABEL AVE, Dallas, TX 75209) does not match the oncor provided address (6710 MA...T A)
The address provided for the meter (4309 W UNIVERSITY BLVD, Dallas, TX 75209) does not match the oncor provided address (4309 UN...GNL)
The address provided for the meter (7200 INWOOD RD, Dallas, TX 75209) does not match the oncor provided address (@UNIVER...OOD)
The address provided for the meter (200A N ST PAUL ST, Dallas, TX 75201) does not match the oncor provided address (200 N S...GNL)
The address provided for the meter (251 N CESAR CHAVEZ BLVD, Dallas, TX 75201) does not match the oncor provided address (251 S C...GNL)
The address provided for the meter (2600A ELM ST, Dallas, TX 75226) does not match the oncor provided address (2600 EL...L A)
The address provided for the meter (2606A SWISS AV, Dallas, TX 75204) does not match the oncor provided address (2606 SW...L A)
The address provided for the meter (3301A ROSS AV, Dallas, TX 75204) does not match the oncor provided address (3301 RO...L A)
The address provided for the meter (3796 LIVE OAK, Dallas, TX 75204) does not match the oncor provided address (3798 LI... ST)
The address provided for the meter (2404 AL LIPSCOMB WAY, Dallas, TX 75215) does not match the oncor provided address (2404 GR...AVE)
The address provided for the meter (200 S HALL ST, Dallas, TX 75226) does not match the oncor provided address (3100 CO...L A)
The address provided for the meter (300 EXPOSITION AVE, Dallas, TX 75226) does not match the oncor provided address (364 EXP...AVE)
The address provided for the meter (1401A N PEAK ST, Dallas, TX 75204) does not match the oncor provided address (1401 N ...L A)
The address provided for the meter (4401 MCKINNEY AVE, Dallas, TX 75205) does not match the oncor provided address (2337 OL...GNL)
The address provided for the meter (HENDERSON & MCMILLAN, Dallas, TX 75206) does not match the oncor provided address (@HENDER...LAN)
The address provided for the meter (2310 ROBERT B CULLUM, Dallas, TX 75210) does not match the oncor provided address (2301 RO...LVD)
The address provided for the meter (4503 EAST GRAND, Dallas, TX 75223) does not match the oncor provided address (4503 E ...AVE)
The address provided for the meter (1701 S HASKELL, Dallas, TX 75223) does not match the oncor provided address (1781 S ...AVE)
The address provided for the meter (4830 EAST GRAND, Dallas, TX 75223) does not match the oncor provided address (4830 E ...GNL)
The address provided for the meter (5501 EAST GRAND AV, Dallas, TX 75223) does not match the oncor provided address (5501 E ...L A)
The address provided for the meter (6009 EAST GRAND AV, Dallas, TX 75223) does not match the oncor provided address (6009 E ...GNL)
The address provided for the meter (6400 EAST GRAND AVE, Dallas, TX 75223) does not match the oncor provided address (6400 E ...AVE)
The address provided for the meter (5800 GASTON AVE, Dallas, TX 75214) does not match the oncor provided address (890 SKI...GNL)
The address provided for the meter (898 N PAULUS AVE, Dallas, TX 75214) does not match the oncor provided address (898 PAU...AVE)
The address provided for the meter (BOEDEKER & NORTHWEST, Dallas, TX 75225) does not match the oncor provided address (@BOEDEK...EST)
The address provided for the meter (5300A GREENVILLE AVE, Dallas, TX 75206) does not match the oncor provided address (5300 GR...AVE)
The address provided for the meter (MEADOW RD & MANDERVILLE, Dallas, TX 75231) does not match the oncor provided address (8203 ME... RD)
The address provided for the meter (6721 SHADY BROOK LN, Dallas, TX 75231) does not match the oncor provided address (6701 SH... LN)
The address provided for the meter (7200 E NORTHWEST HWY, Dallas, TX 75231) does not match the oncor provided address (7200 W ...GNL)
The address provided for the meter (12102 PRESTON RD, Dallas, TX 75230) does not match the oncor provided address (12101 P... RD)
The address provided for the meter (NOEL & SOUTHERN, Dallas, TX 75240) does not match the oncor provided address (NOEL RD... RD)
The address provided for the meter (6020 ALEXIS DR, Dallas, TX 75240) does not match the oncor provided address (1506 W ...E A)
The address provided for the meter (3800 FRANKFORD, Dallas, TX 75287) does not match the oncor provided address (3900 FR... RD)
The address provided for the meter (TRINITY MILLS & ADDISON RD, Dallas, TX 75287) does not match the oncor provided address (@TRINIT... RD)
The address provided for the meter (17300 PRESTON RD, Dallas, TX 75252) does not match the oncor provided address (17300 1... RD)
The address provided for the meter (23499 HILLCREST RD, Dallas, TX 75252) does not match the oncor provided address (12399 H... RD)
The address provided for the meter (PARK CENTRAL & MERIT, Dallas, TX 75251) does not match the oncor provided address (@ PARK ...RIT)
The address provided for the meter (GREENVILLE & WHITEHURST, Dallas, TX 75243) does not match the oncor provided address (@GREENV...RST)
The address provided for the meter (13400 ESPERANZA, Dallas, TX 75240) does not match the oncor provided address (13400 M... RD)
The address provided for the meter (RESTLAND & TI BLVD, Dallas, TX 75243) does not match the oncor provided address (8808 RE...IGN)
The address provided for the meter (13200 FLOYD RD, Dallas, TX 75243) does not match the oncor provided address (13200 T...LVD)
The address provided for the meter (13800 ESPERANZA, Dallas, TX 75240) does not match the oncor provided address (13800 M... RD)
The address provided for the meter (15001 PRESTON RD, Dallas, TX 75240) does not match the oncor provided address (@ PEPPE...TON)
The address provided for the meter (FRANKFORD & MEANDERING WAY, Dallas, TX 75252) does not match the oncor provided address (@FRANKF...WAY)
The address provided for the meter (JIM MILLER & LAKE JUNE, Dallas, TX 75217) does not match the oncor provided address (@JIM MI...UNE)
The address provided for the meter (BURTON & JIM MILLER, Dallas, TX 75217) does not match the oncor provided address (@BRUTON...LER)
The address provided for the meter (BUCKNER BLVD & HUME, Dallas, TX 75227) does not match the oncor provided address (8094 HU... DR)
The address provided for the meter (8000 SCYENE RD, Dallas, TX 75227) does not match the oncor provided address (8000 1/... RD)
The address provided for the meter (BRUTON & PLEASANT, Dallas, TX 75217) does not match the oncor provided address (@BRUTON...ANT)
The address provided for the meter (ELEM & ST AUGUSTINE, Dallas, TX 75217) does not match the oncor provided address (@ELEM A...INE)
The address provided for the meter (LAKE JUNE & ST AUGUSTINE, Dallas, TX 75217) does not match the oncor provided address (@LAKE J...INE)
The address provided for the meter (LAKE JUNE & MASTERS, Dallas, TX 75217) does not match the oncor provided address (@LAKE J...ERS)
The address provided for the meter (BRUTON & MASTERS, Dallas, TX 75217) does not match the oncor provided address (@BRUTON...ERS)
The address provided for the meter (MASTERS & SCYENE, Dallas, TX 75217) does not match the oncor provided address (@MASTER...ENE)
The address provided for the meter (3900 SAMUELL BLVD, Dallas, TX 75228) does not match the oncor provided address (3906 SA...LVD)
The address provided for the meter (JIM MILLER & MILITARY, Dallas, TX 75227) does not match the oncor provided address (@JIM MI...ARY)
The address provided for the meter (5553 N JIM MILLER RD, Dallas, TX 75228) does not match the oncor provided address (5533 N ...GNL)
The address provided for the meter (7538 EAST GRAND AV, Dallas, TX 75214) does not match the oncor provided address (7538 E ...AVE)
The address provided for the meter (9100A GARLAND RD, Dallas, TX 75218) does not match the oncor provided address (9100 GA...L A)
The address provided for the meter (1200 N BUCKNER, Dallas, TX 75218) does not match the oncor provided address (1200 1/...LVD)
The address provided for the meter (4031 ST FRANCIS, Dallas, TX 75228) does not match the oncor provided address (4031 SA...AVE)
The address provided for the meter (FERGUSON & OATES, Dallas, TX 75228) does not match the oncor provided address (2205 OA... DR)
The address provided for the meter (9500 GARLAND RD, Dallas, TX 75218) does not match the oncor provided address (9500 CA...PLZ)
The address provided for the meter (9700 FIELDCREST, Dallas, TX 75238) does not match the oncor provided address (9700 1/... DR)
The address provided for the meter (9600 AUDELIA RD, Dallas, TX 75238) does not match the oncor provided address (9600 1/... RD)
The address provided for the meter (WHITE ROCK TRAIL & CHURCH, Dallas, TX 75238) does not match the oncor provided address (@WHITE ...RCH)
The address provided for the meter (ROYAL & FAIR OAKS XING, Dallas, TX 75231) does not match the oncor provided address (@ ROYAL...ING)
The address provided for the meter (AUDELIA & FERNDALE, Dallas, TX 75238) does not match the oncor provided address (@AUDELI...ALE)
The address provided for the meter (MILLER & SANDEN, Dallas, TX 75238) does not match the oncor provided address (10993 M... RD)
The address provided for the meter (MILITARY & PRAIRIE CREEK, Dallas, TX 75227) does not match the oncor provided address (@MILITA...EEK)
The address provided for the meter (FERGUSON & COTILLION, Dallas, TX 75228) does not match the oncor provided address (11412 F... RD)
The address provided for the meter (ADLETA & SKILLMAN, Dallas, TX 75243) does not match the oncor provided address (11200 A... RD)
The address provided for the meter (AUDELIA & WALNUT, Dallas, TX 75243) does not match the oncor provided address (12907 A... RD)
The address provided for the meter (PAGEMILL & SKILLMAN, Dallas, TX 75243) does not match the oncor provided address (9623 SK... ST)
The address provided for the meter (1115 COMMERCE, Dallas, TX 75202) does not match the oncor provided address (1115 W ...T B)
The address provided for the meter (3010A GASTON AV, Dallas, TX 75226) does not match the oncor provided address (3010 GA...L A)
The address provided for the meter (9300 A S CENTRAL EXWY, Dallas, TX 75241) does not match the oncor provided address (9300 S ...L A)
The address provided for the meter (600 S LAMAR ST, Dallas, TX 75202) does not match the oncor provided address (903 CER...GNL)
The address provided for the meter (CITY PL & MCKINNEY, Dallas, TX 11111) does not match the oncor provided address (3712 MC...GNL)
The address provided for the meter (1350 WESTMORELAND RD, Dallas, TX 75211) does not match the oncor provided address (1350 N ...L A)
The address provided for the meter (16701 HILLCREST, Dallas, TX 75248) does not match the oncor provided address (16600 H... RD)
The address provided for the meter (2700 HAWES AVE, Dallas, TX 75235) does not match the oncor provided address (2729 HA...GNL)
The address provided for the meter (342 BEACON ST, Dallas, TX 75214) does not match the oncor provided address (342 S B...GNL)
The address provided for the meter (1544 N COCKRELL HILL RD, Dallas, TX 75212) does not match the oncor provided address (1547 N ... RD)
The address provided for the meter (3599 GASTON AV, Dallas, TX 75246) does not match the oncor provided address (3489 GA...GNL)
The address provided for the meter (NORTHWEST HWY & WHITE ROCK, Dallas, TX 75214) does not match the oncor provided address (NW HWY ...OCK)
The address provided for the meter (8726 GARLAND RD, Dallas, TX 75252) does not match the oncor provided address (8749 GA...GNL)
The address provided for the meter (245 COMMERCE, Dallas, TX 75207) does not match the oncor provided address (245 W C...IGN)
The address provided for the meter (FRANKFORD RD & HIGHLAND SPRINGS WAY, Dallas, TX 75252) does not match the oncor provided address (8130 FR...GNL)
The address provided for the meter (2000 BUCKNER BLVD, Dallas, TX 75228) does not match the oncor provided address (2000 N ...GNL)
The address provided for the meter (117 S MURDOCK RD, Dallas, TX 75217) does not match the oncor provided address (117 MUR...GNL)
