the esi id 0007530127 with address LOOP 12 & SINGING HILLS, Dallas, TX 75241 is not active with oncor.
the esi id 0009314921 with address 2402 BRYAN, Dallas, TX 75243 is not active with oncor.
the esi id 0006867749 with address 1900 S CENTRAL EXPY, Dallas, TX 75215 is not active with oncor.
the esi id 0008529731 with address 627 N CARROLL, Dallas, TX 75246 is not active with oncor.
the esi id 0008371653 with address 5189 LIVE OAK, Dallas, TX 75206 is not active with oncor.
the esi id 0008371746 with address 5198 GASTON, Dallas, TX 75214 is not active with oncor.
the esi id 0008974727 with address 1702 GREENVILLE, Dallas, TX 75206 is not active with oncor.
the esi id 0009016298 with address 1999 ROBERT B CULLUM BLVD, Dallas, TX 75210 is not active with oncor.
the esi id 0008832158 with address 7701 PARK LN, Dallas, TX 75225 is not active with oncor.
the esi id 0009067262 with address 5300 SKILLMAN ST, Dallas, TX 75201 is not active with oncor.
the esi id 0008978168 with address 6691 E MOCKINGBIRD LN, Dallas, TX 75214 is not active with oncor.
the esi id 0006304728 with address 6700 SHADYBROOK LN, Dallas, TX 75231 is not active with oncor.
the esi id 0008961738 with address 5898 PINELAND DR, Dallas, TX 75231 is not active with oncor.
the esi id 0008960374 with address 7301 ABRAMS RD, Dallas, TX 75231 is not active with oncor.
the esi id 0006414622 with address 8200 ABRAMS RD, Dallas, TX 75231 is not active with oncor.
the esi id 0007034189 with address FERGUSON & SHILOH, Dallas, TX 75238 is not active with oncor.
the esi id 0008785999 with address 11800 MARSH, Dallas, TX 11111 is not active with oncor.
the esi id 0008789161 with address 12800 DALLAS NORTH TOLLWAY, Dallas, TX 75244 is not active with oncor.
the esi id 0008759866 with address CHURCHILL WAY & PRESTON, Dallas, TX 11111 is not active with oncor.
the esi id 0008885695 with address 5400 ARAPAHO RD, Dallas, TX 75248 is not active with oncor.
the esi id 0007494167 with address MARSH & FRANKFORD, Dallas, TX 75287 is not active with oncor.
the esi id 0007826704 with address PRESTON & CAMPBELL, Dallas, TX 75252 is not active with oncor.
the esi id 0006414591 with address 9001 ABRAMS RD, Dallas, TX 75243 is not active with oncor.
the esi id 0009166400 with address 9798 ABRAMS RD, Dallas, TX 75243 is not active with oncor.
the esi id 0008907705 with address 12971 GREENVILLE AVE, Dallas, TX 75243 is not active with oncor.
the esi id 0002070010 with address 9426 WALNUT ST, Dallas, TX 75243 is not active with oncor.
the esi id 0008894716 with address 9406 WALNUT, Dallas, TX 75243 is not active with oncor.
the esi id 0008887369 with address 16799 HILLCREST RD, Dallas, TX 75248 is not active with oncor.
the esi id 0008124862 with address JIM MILLER & LOOP 12, Dallas, TX 75217 is not active with oncor.
the esi id 0007530220 with address 5300 BURTON, Dallas, TX 75217 is not active with oncor.
the esi id 0007194149 with address JIM MILLER & SCYENE, Dallas, TX 75227 is not active with oncor.
the esi id 0006267155 with address 8116 LAKE JUNE RD, Dallas, TX 75217 is not active with oncor.
the esi id 0009033131 with address 1298 HOLCOMB RD, Dallas, TX 75217 is not active with oncor.
the esi id 0009035177 with address 8908 LAKE JUNE RD, Dallas, TX 75217 is not active with oncor.
the esi id 0007194242 with address PRAIRIE CREEK & SCYENE, Dallas, TX 75227 is not active with oncor.
the esi id 0007194273 with address SCYENE & ST AUGUSTINE, Dallas, TX 75227 is not active with oncor.
the esi id 0009024606 with address 3762 S BUCKNER BLVD, Dallas, TX 75227 is not active with oncor.
the esi id 0006158129 with address 4600 S BUCKNER BLVD, Dallas, TX 75227 is not active with oncor.
the esi id 0006147031 with address 5500 S BUCKNER BLVD, Dallas, TX 75228 is not active with oncor.
the esi id 0009001108 with address 1800 JOHN WEST RD, Dallas, TX 75228 is not active with oncor.
the esi id 0009000922 with address 9499 MERCER DR, Dallas, TX 75228 is not active with oncor.
the esi id 0008979811 with address 9498 E LAKE HIGHLANDS DR, Dallas, TX 75218 is not active with oncor.
the esi id 0008734508 with address 10700 E NORTHWEST HWY, Dallas, TX 75238 is not active with oncor.
the esi id 0008961242 with address 9702 WHITE ROCK TRAIL, Dallas, TX 75238 is not active with oncor.
the esi id 0008961955 with address 10001 ROYAL LN, Dallas, TX 75238 is not active with oncor.
the esi id 0008961459 with address 10698 PLANO RD, Dallas, TX 75238 is not active with oncor.
the esi id 0008981175 with address 9940 GARLAND RD, Dallas, TX 75218 is not active with oncor.
the esi id 0008981206 with address 10499 GARLAND RD, Dallas, TX 75218 is not active with oncor.
the esi id 0008981237 with address 10699 GARLAND RD, Dallas, TX 75218 is not active with oncor.
the esi id 0008981299 with address 11099 GARLAND RD, Dallas, TX 75218 is not active with oncor.
the esi id 0008960467 with address 12428 JUPITER RD, Dallas, TX 75218 is not active with oncor.
the esi id 0008981113 with address 11498 GARLAND RD, Dallas, TX 75218 is not active with oncor.
the esi id 0009197369 with address 12197 E NORTHWEST HWY, Dallas, TX 75218 is not active with oncor.
the esi id 0009004394 with address 9799 LA PRADA DR, Dallas, TX 75228 is not active with oncor.
the esi id 0009004332 with address 11498 WOODMEADOW PKWY, Dallas, TX 75228 is not active with oncor.
the esi id 0007084624 with address 505 WALNUT ST, Dallas, TX 75243 is not active with oncor.
the esi id 0006884644 with address 11700 PLANO RD, Dallas, TX 75243 is not active with oncor.
the esi id 0008815914 with address 10831 PRESTON RD, Dallas, TX 75230 is not active with oncor.
the esi id 0009609390 with address 19300 MIDWAY, Dallas, TX 75287 is not active with oncor.
the esi id 0009806581 with address 3430 W ILLINOIS AVE, Dallas, TX 75211 is not active with oncor.
the esi id 0006686864 with address 7190 SKILLMAN ST, Dallas, TX 75231 is not active with oncor.
the esi id 0005871351 with address 7108 CHAUCER PL, Dallas, TX 75237 is not active with oncor.
